Title,Body,Labels,Milestone,Assignees
"[ARCH-01] Define endpoint role and resource authorization matrix","Create a versioned matrix covering every API route, allowed role, patient ownership rule, audit requirement, and anonymous exception. Review it with clinical, billing, and operations stakeholders. Acceptance criteria: every controller action is listed exactly once; anonymous access is limited to login and invitation completion; patient-owned versus staff-wide access is explicit; the matrix is checked into the repository and linked from authorization tests.","architecture,security,priority:high","Phase 2 - modular monolith",unassigned
"[ARCH-02] Introduce named authorization policies and current-user access","Replace per-controller Authorization-header parsing and TokenRoleValidator calls with ASP.NET Core named policies, role claims, and a current-user abstraction. Add resource authorization for patient ownership. Depends on ARCH-01. Acceptance criteria: controllers use named policies; no controller manually parses bearer tokens; cross-patient access returns the approved 403/404; policy and API integration tests cover every role.","architecture,backend,security,priority:high","Phase 2 - modular monolith",unassigned
"[ARCH-03] Add application use-case layer","Create an Application boundary for SearchPatients, CompleteEncounter, PostPayment, and GenerateInvitation. Move orchestration, transaction boundaries, and access decisions out of controllers. Depends on ARCH-01 and ARCH-02. Acceptance criteria: controllers bind/validate, call a use case, and map results; use cases do not depend on MVC or HTTP headers; one patient and one billing flow are migrated with tests.","architecture,backend,priority:medium","Phase 2 - modular monolith",unassigned
"[ARCH-04] Separate infrastructure persistence from domain and application code","Move EF Core, repositories, password storage, invitation persistence, and external adapters behind Infrastructure interfaces. Keep Domain free of EF, JWT, HTTP, and configuration dependencies. Depends on ARCH-03. Acceptance criteria: Domain has no EF or ASP.NET references; Application depends on ports; wiring is centralized; tests use a test persistence adapter.","architecture,backend,priority:medium","Phase 2 - modular monolith",unassigned
"[ARCH-05] Standardize API contracts with DTOs and ProblemDetails","Define request/response DTOs per feature, remove EF entity serialization, and configure RFC 7807 ProblemDetails with validation and correlation IDs. Depends on ARCH-03. Acceptance criteria: no API action returns a persistence entity; credentials and internal graph details are excluded; validation/not-found/forbidden/unexpected errors have stable shapes; representative contract tests exist.","architecture,backend,api,priority:high","Phase 2 - modular monolith",unassigned
"[ARCH-06] Add audit logging for sensitive operations","Implement append-only audit events for PHI reads/exports, credential changes, invitation generation/use, and billing mutations. Record actor, action, resource, timestamp, correlation ID, and outcome without secrets or unnecessary PHI. Depends on ARCH-02 and ARCH-03. Acceptance criteria: required operations emit events; failed operations are recorded safely; retention and access are documented.","architecture,security,compliance,priority:high","Phase 2 - modular monolith",unassigned
"[ARCH-07] Optimize patient and invoice query boundaries","Add indexed search/filter fields, bounded pagination, cancellation tokens, and projection-based queries. Replace invoice N+1 loading with batched projections and add optimistic concurrency. Depends on ARCH-03 and ARCH-05. Acceptance criteria: patient/invoice endpoints return bounded pages; query count does not grow linearly; indexes are verified; concurrent updates return a controlled conflict.","architecture,backend,performance,priority:medium","Phase 2 - modular monolith",unassigned
"[ARCH-08] Split Angular into feature data-access boundaries","Organize Angular code by auth, patients, scheduling, encounters, billing, and reports. Keep shared HTTP/auth state in core and use typed API models. Depends on ARCH-05. Acceptance criteria: feature internals are not cross-imported; API/auth behavior is centralized; routes and navigation use shared role definitions; patients and billing are migrated without regressions.","architecture,frontend,priority:medium","Phase 2 - modular monolith",unassigned
"[ARCH-09] Decide and document the identity/session strategy","Evaluate ASP.NET Core Identity versus a hosted provider and cookie sessions versus bearer tokens. Compare MFA, lockout, reset, refresh rotation, ownership, cost, and regulatory requirements. Record an ADR and migration plan. Depends on ARCH-01. Acceptance criteria: selected and rejected options are documented; session behavior and CSRF are specified; migration and rollback are identified; security review signs off.","architecture,security,adr,priority:high","Phase 3 - identity platform",unassigned
"[ARCH-10] Define background jobs and integration ports","Create ports and operational contracts for reminders, reports, pharmacy/laboratory integrations, and payment/insurance integrations. Select durable jobs, retry/dead-letter policy, idempotency, and observability. Depends on ARCH-03 and ARCH-04. Acceptance criteria: retryable work is not inside HTTP requests; jobs have idempotency/retry behavior; failures are visible; one workflow uses the boundary.","architecture,backend,integrations,priority:medium","Phase 3 - platform capabilities",unassigned
"[ARCH-11] Establish observability and operational readiness","Add structured logging, correlation propagation, dependency health checks, latency/error/auth metrics, and alerts. Depends on ARCH-03 and ARCH-06. Acceptance criteria: requests trace across API/database/jobs/audit; liveness and readiness are distinct; critical alerts exist; logs redact tokens, passwords, and sensitive patient content.","architecture,operations,security,priority:medium","Phase 3 - platform capabilities",unassigned
"[ARCH-12] Define production data protection and recovery runbook","Document SQL backups, encryption, restore testing, migration rollout/rollback, retention, data residency, and recovery objectives. Execute a non-production restore rehearsal. Depends on ARCH-04 and ARCH-06. Acceptance criteria: RPO/RTO are approved; another operator can execute the runbook; migration rollback is tested; restore evidence is attached to a release record.","architecture,operations,compliance,priority:high","Phase 3 - platform capabilities",unassigned
"[P0] Enforce default-deny authorization for PHI and billing endpoints","Protect PatientsController, InvoicesController, DashboardController, and every clinical/billing route. Define named role/resource policies, remove duplicated token parsing, and add 401/403 plus cross-patient IDOR tests. Acceptance: anonymous protected calls return 401, wrong roles return 403, patient ownership is enforced, and only login/invitation completion are anonymous.","security,priority:critical","48-hour production gate",""
